,Image,Text
0,AHTD3A0438_Para3_4.tif,وقد كانت حرة نشطة عاشت أمدا طويلا كما يظهر من وصف الهمداني وغيرها لها
1,AHTD3A0441_Para2_1.tif,وهي مساحات من الأرضين تعلوها رمال حمر في الغالب تمتد من النفود
2,AHTD3A0441_Para2_2.tif,إلى حضرموت ومهرة في الجنوب واليمن في الغرب وعمان في الشرق  وفيها
3,AHTD3A0441_Para2_3.tif,سلاسل من التلال الرملية ذات ارتفاعات مختلفة تنتقل في الغالب مع
4,AHTD3A0441_Para2_4.tif,الرياح وتغطي مساحات واسعة من الأرض  ويمكن العثور على المياه في قيعانها
5,AHTD3A0441_Para2_5.tif,اذا حفرت فيها الآبار
6,AHTD3A0441_Para3_1.tif,وقد أشير إلى الدهناء في بيت شعر للاعشى هذا نصه يمرون بالدهناء خفافا عيابهم
7,AHTD3A0441_Para3_2.tif, ويرجعن من دارين بجر الحقائب وقد تصل الأمطار الموسمية إلى بعض أجزاء
8,AHTD3A0442_Para2_1.tif,وخلوها من الماء والمراعي ولكثرة هبوب العواصف الرملية فيها
9,AHTD3A0442_Para2_2.tif,ولشدة حرارتها التي يصعب احتمالها في أثناء النهار وأقاموا في
10,AHTD3A0442_Para2_3.tif,الأمكنة المرتفعة منها التي تتوافر فيها المياه وتتساقط عليها
11,AHTD3A0442_Para2_4.tif,الأمطار فتنبت الأعشاب وينتجعها الأعراب  اما الأقسام
12,AHTD3A0442_Para2_5.tif,الجنوبية من الدهناء فيسميها الجغرافيون المحدثون
13,AHTD3A0442_Para2_6.tif,الربع الخالي  لخلوها من الناس
14,AHTD3A0442_Para3_1.tif,وكشف برترام توماس في الربع الخالي بحيرة من المياه الملحة وبقايا
15,AHTD3A0442_Para3_5.tif,المحيط كما عثر فيه على آثار جاهلية لم يعرف من أمرها
16,AHTD3A0443_Para3_1.tif,وتكون وبار قسما من الدهناء وكانت من الأرضين المشهورة بالخصب والنماء وهي اليوم من
17,AHTD3A0443_Para3_2.tif,المناطق الصحراوية وبها آثار القرى القديمة التي كانت كثيرة قبل الإسلام  والظاهر أنها كانت
18,AHTD3A0443_Para3_3.tif,مواطن الرباريين وهم الذين دعاهم بطلميوس  الذين سأتحدث عنهم وفي الجهة الشمالية
19,AHTD3A0443_Para3_4.tif,الشرقية من بار رمال يرين
20,AHTD3A0444_Para3_1.tif,وتعد النفود من الأماكن المائلة أو المنحدرة ويظهر من القياسات وان كانت قليلة جدا إن
21,AHTD3A0444_Para3_2.tif,المنطقة الشرقية من النفود أوطأ من مستوى المنطقة الغربية عند خط طول  درجة و  دقيقة
22,AHTD3A0444_Para3_3.tif,بما يزيد على مترا أي إن هذه البادية مرتفعة في الغرب آخذة في الانخفاض والميل في الشرق
23,AHTD3A0445_Para3_1.tif,وتعد النفود من الأماكن المائلة أو المنحدرة ويظهر من القياسات وان كانت قليلة جدا
24,AHTD3A0445_Para3_2.tif,إن المنطقة الشرقية من النفود أوطأ من مستوى المنطقة الغربية عند خط طول
25,AHTD3A0445_Para3_3.tif, درجة و  دقيقة بما يزيد على مترا أي إن هذه البادية مرتفعة في الغرب
