,Image,Text
0,AHTD3A0001_Para2_3.png,من العذاب في الآخرة وأفضل ما رزقهم الله تعالى ومن به عليهم بالعقل الذي هو دعامة
1,AHTD3A0001_Para2_4.png,لجميع الأشياء والذي لا يقدر أحد في الدنيا على إصلاح معيشته
2,AHTD3A0001_Para3_1.png,فقال له  إنك في منازل آبائك وأجدادك من الجبابرة الذين أسسوا الملك
3,AHTD3A0001_Para3_2.png,قبلك وشيدوه دونك وبنوا القلاع والحصون ومهدوا البلاد وقادوا الجيوش
4,AHTD3A0002_Para2_1.png,وكذلك طالب الآخرة مجتهد في العمل المنجي به روحه لا
5,AHTD3A0002_Para2_2.png,يقدر على إتمام عمله و الحماله إلا بالعقل الذي هو سبب كل خير
6,AHTD3A0002_Para2_3.png,ومفتاح كل سعادة  فليس لأحد غني عن العقل  والعقل
7,AHTD3A0002_Para2_4.png,مكتسب بالتجارب والأدب  وله غريزة مكنونة في الإنسان
8,AHTD3A0002_Para3_1.png,وعلى العالم أن يبدأ بنفسه ويؤدبها بعلمه ولا تكون غايته
9,AHTD3A0002_Para3_2.png,اقتناؤه العلم لمعاونة غيره ويكون كالعين التي يشرب منها
10,AHTD3A0002_Para3_3.png,الناس ماءها وليس لها في ذلك شيء من المنفعة
11,AHTD3A0002_Para3_4.png,وكدودة القز التي تحكم صنعته ولا تنتفع به  فينبغي
12,AHTD3A0002_Para3_5.png,لمن يطلب العلم أن يبدأ بعظة نفسه ثم عليه بعد ذلك
13,AHTD3A0002_Para3_6.png,أن يقبسه
14,AHTD3A0004_Para2_1.png,وقد ينبغي للناظر في كتابنا هذا ألا تكون غايته التصفح لتزاويقه  بل
15,AHTD3A0004_Para2_2.png,يشرف على ما يتضمن من الأمثال حتى ينتهي منه ويقف عند كل مثل وكلمة
16,AHTD3A0004_Para2_4.png,المال الكثير قتنازعوه بينهم فأما الكبيران فإنهما أسرعا في إتلافه وإنفاقه
17,AHTD3A0004_Para2_5.png,في غير وجهه
18,AHTD3A0004_Para3_1.png,وأما الصغير فإنه عندما نظر ما صار إليه أخواه من إسرافهما وتخليهما من المال
19,AHTD3A0004_Para3_2.png,اقبل على نفسه يشاورها وقال يا نفسي إنما المال يطلبه صاحبه ويجمعه
20,AHTD3A0004_Para3_3.png,من كل وجه لبقاء حاله وصلاح معاشه ودنياه وشرف منزلته في أعين
21,AHTD3A0004_Para3_4.png,الناس واستغنائه عما في أيديهم وصرفه في وجهه من صلة الرحم  والإفضال
22,AHTD3A0004_Para3_5.png,على الإخوان
23,AHTD3A0005_Para2_2.png,فرأيت أن أطلب الاشتغال بالطب ابتغاء الآخرة لئلا أكون كالتاجر الذي باع
24,AHTD3A0006_Para2_1.png,فأقبلت على مداواة المرضى ابتغاء أجر الآخرة فلم أدع
25,AHTD3A0006_Para2_3.png,أن يخف عنه بعض المرض إلا بالغت في مداواته 
26,AHTD3A0006_Para2_4.png,ما أمكنني القيام عليه بنفسي ومن لم أقدر على القيام عليه
27,AHTD3A0006_Para2_5.png,وصفت له ما يصلح وأعطيته من الدواء ما يعالج به
28,AHTD3A0006_Para3_1.png, ولم أرد ممن فعلت معه ذلك جزاء  ولم أغبط أحدا
29,AHTD3A0006_Para3_2.png,من نظرائي الذين هم دوني في العلم وفوقي في الجاه
30,AHTD3A0006_Para3_3.png,والمال وغيرهما مما لا يعود بصلاح ولا حسن سيرة قولا ولا عملا
31,AHTD3A0006_Para3_5.png,فقلت يا نفس أما تعرفين نفعك من ضرك
32,AHTD3A0009_Para3_1.png,وكأن الدنيا جذلة مسرورة تقول قد جبت الخيرات وأظهرت السيئات  فلما فكرت في الدنيا وأمورها وأن الإنسان هو أترف
33,AHTD3A0009_Para3_2.png,الخلق فيها وأفضله ثم هو لا يتقلب إلا في الشرور و اطعم عرفت أنه ليس إنسان ذو عقل يعلم ذلك ثم لا يحتال لنفسه
34,AHTD3A0009_Para3_3.png,في النجاة فعجبت من ذلك كل العجب
35,AHTD3A0010_Para2_1.png,إن طبائع الخلق مختلفة  وليس مما خلقه الله في الدنيا مما يمشي على أربع
36,AHTD3A0010_Para2_2.png,أو على رجلين أو يطير بجناحين شيء هو  أفضل من الإنسان
37,AHTD3A0010_Para2_3.png,ولكن من الناس البر والفاجر  وقد يكون في بعض البهائم والسباع
38,AHTD3A0010_Para2_4.png,والطير ما هو أوفى منه ذمة وأشد محاماة على حرمه وأشكر
39,AHTD3A0010_Para2_5.png,للمعروف وأقوم به
40,AHTD3A0010_Para3_1.png,وقد يأخذ ابن عرس فيدخله في كمه ويخرجه من الآخر كالذي يحمل
41,AHTD3A0010_Para3_4.png,ما يصنع إليهم على قدر ما يرى منهم
42,AHTD3A0011_Para2_1.png,إن طبائع الخلق مختلفة وليس مما خلقه الله في الدنيا مما يمشي على أربع أو على رجلين
43,AHTD3A0011_Para3_1.png,وقد يأخذ ابن عرس فيدخله في كمه ويخرجه من الآخر كالذي يحمل الطائر على يده فإذا صاد شيئا انتفع
44,AHTD3A0012_Para2_1.png,الصين هي أكبر دولة منتجة للأجهزة الكهربائية المنزلية في العالم وفي عام الفين وسبعه
45,AHTD3A0012_Para2_2.png,بلغت قيمة صادراتها من التلفزيونات والثلاجات  والغسالات والهواتف النقالة
46,AHTD3A0012_Para2_3.png,ما يقارب ثمانيه وخمسين مليار دولار أمريكي  بيد أن الفائض الكبير الذي تحققه الصين في تجارتها
47,AHTD3A0012_Para2_4.png,الخارجية أثار احتكاكات تجارية بينها وبين بعض الدول وخاصة المصدرة
48,AHTD3A0012_Para3_1.png,ولا شك أن ارتفاع قيمة الصادرات ساهمت كثيرا في نمو الاقتصاد الصيني غير أن قيمة الصادرات
49,AHTD3A0012_Para3_2.png,الصينية تتراجع بسبب الأزمة المالية العالمية ولهذا توجهت شركات الأجهزة الكهربائية
50,AHTD3A0012_Para3_3.png,المنزلية الصينية إلى أسواق الريف الصيني في محاولة لتعويض خسارتها الناجمة عن تراجع
51,AHTD3A0012_Para3_4.png,الصادرات  هذه التحليلات والاستراتيجيات الاقتصادية لا تعني شيئا بالنسبة  لمن
52,AHTD3A0012_Para3_5.png,يقطن قرية نائية
53,AHTD3A0013_Para2_1.png,عندما بدأ تطبيق مشروع وصول الأجهزة الكهربائية المنزلية إلى الريف في مدينة لينيي
54,AHTD3A0014_Para3_1.png,تقول تشنغ رو هونغ  سنة الناس حاليا يهتمون بنوعية حياتهم ويعيشون بطريقة
55,AHTD3A0014_Para3_4.png,تتوفر لها الظروف المادية الكافية ونمط الحياة الجيد
56,AHTD3A0015_Para2_1.png,ويعتقد الخبير السكاني تسنغ يي بينغ  الأستاذ في جامعة بكين أن
57,AHTD3A0015_Para2_2.png,عملية التصنيع سبب لتأخير سن الإنجاب  ويقول اختفى الاقتصاد
58,AHTD3A0015_Para2_3.png,الأسري التقليدي وتغير   نمط الإنتاج كليا وأصبح التعليم عملية
59,AHTD3A0015_Para2_4.png,ممتدة طويلة حيث يقضي الفرد وقتا أطول لاكتساب مهارات الحياة
60,AHTD3A0015_Para2_5.png,وتدبير المال استعدادا الإنجاب فتختار النساء الإنجاب في سن كبيرة
61,AHTD3A0015_Para3_1.png,ويرى تونغ شين الأستاذ بكلية العلوم الاجتماعية في جامعة بكين أن
62,AHTD3A0015_Para3_2.png,تأخير سن الإنجاب يرتبط بارتفاع مكانة النساء في المجتمع  مع ارتفاع المستوى
63,AHTD3A0015_Para3_3.png,التعليمي للمرأة لم يعد دورها في المجتمع مجرد وسيلة للتكاثر  لم تعد المرأة
64,AHTD3A0015_Para3_4.png,بحاجة إلى تثبيت مكانتها في الأسرة عن طريق الإنجاب فقد ضعف مفهوم
65,AHTD3A0015_Para3_5.png,التكاثر في المجتمع
66,AHTD3A0016_Para2_1.png,تقول لو دي الموظفة في شركة أجنبية يعتقد غالبية الناس حاليا أنهم يعيشون
67,AHTD3A0016_Para2_2.png,من أجل أنفسهم فقط وهذا الرأي هو التيار الرئيسي في المجتمع  تشعر لو دي بالندم لأنها
68,AHTD3A0016_Para2_3.png,أصبحت أما  وتغبط الحوامل الكبيرات السن لأن بوسعهن أن يعملن وقتا
69,AHTD3A0016_Para2_4.png,أطول بما يساعدهن على تحقيق طموحاتهن والاستمتاع بفترة شبابهن
70,AHTD3A0016_Para3_2.png,يي تأخير سن الإنجاب يؤدي إلى انخفاض معدل الإنجاب  لم يكن تأخير سن
71,AHTD3A0016_Para3_3.png,الإنجاب يمثل مشكلة عندما كان معدل الإنجاب عاليا ولكن مع انخفاض معدل
72,AHTD3A0016_Para3_4.png,الإنجاب صار تأخير سن الإنجاب مشكلة في هذا العصر تماما وموكدا
73,AHTD3A0017_Para2_1.png,تغير مفهوم الإنجاب عند الصينيين في الريف أيضا مع هجرة كثير من أهل
74,AHTD3A0017_Para2_2.png,الريف إلى المدن للعمل لفترة ثم العودة إلى قراهم حيث انخفض معدل
